,UF,NOMEUF,CODMUN,NOMEMUN
0,11,Rondônia,110001,Alta Floresta D'Oeste
1,11,Rondônia,110037,Alto Alegre dos Parecis
2,11,Rondônia,110040,Alto Paraíso
3,11,Rondônia,110034,Alvorada D'Oeste
4,11,Rondônia,110002,Ariquemes
5,11,Rondônia,110045,Buritis
6,11,Rondônia,110003,Cabixi
7,11,Rondônia,110060,Cacaulândia
8,11,Rondônia,110004,Cacoal
9,11,Rondônia,110070,Campo Novo de Rondônia
10,11,Rondônia,110080,Candeias do Jamari
11,11,Rondônia,110090,Castanheiras
12,11,Rondônia,110005,Cerejeiras
13,11,Rondônia,110092,Chupinguaia
14,11,Rondônia,110006,Colorado do Oeste
15,11,Rondônia,110007,Corumbiara
16,11,Rondônia,110008,Costa Marques
17,11,Rondônia,110094,Cujubim
18,11,Rondônia,110009,Espigão D'Oeste
19,11,Rondônia,110100,Governador Jorge Teixeira
20,11,Rondônia,110010,Guajará-Mirim
21,11,Rondônia,110110,Itapuã do Oeste
22,11,Rondônia,110011,Jaru
23,11,Rondônia,110012,Ji-Paraná
24,11,Rondônia,110013,Machadinho D'Oeste
25,11,Rondônia,110120,Ministro Andreazza
26,11,Rondônia,110130,Mirante da Serra
27,11,Rondônia,110140,Monte Negro
28,11,Rondônia,110014,Nova Brasilândia D'Oeste
29,11,Rondônia,110033,Nova Mamoré
30,11,Rondônia,110143,Nova União
31,11,Rondônia,110050,Novo Horizonte do Oeste
32,11,Rondônia,110015,Ouro Preto do Oeste
33,11,Rondônia,110145,Parecis
34,11,Rondônia,110018,Pimenta Bueno
35,11,Rondônia,110146,Pimenteiras do Oeste
36,11,Rondônia,110020,Porto Velho
37,11,Rondônia,110025,Presidente Médici
38,11,Rondônia,110147,Primavera de Rondônia
39,11,Rondônia,110026,Rio Crespo
40,11,Rondônia,110028,Rolim de Moura
41,11,Rondônia,110029,Santa Luzia D'Oeste
42,11,Rondônia,110148,São Felipe D'Oeste
43,11,Rondônia,110149,São Francisco do Guaporé
44,11,Rondônia,110032,São Miguel do Guaporé
45,11,Rondônia,110150,Seringueiras
46,11,Rondônia,110155,Teixeirópolis
47,11,Rondônia,110160,Theobroma
48,11,Rondônia,110170,Urupá
49,11,Rondônia,110175,Vale do Anari
50,11,Rondônia,110180,Vale do Paraíso
51,11,Rondônia,110030,Vilhena
52,12,Acre,120001,Acrelândia
53,12,Acre,120005,Assis Brasil
54,12,Acre,120010,Brasiléia
55,12,Acre,120013,Bujari
56,12,Acre,120017,Capixaba
57,12,Acre,120020,Cruzeiro do Sul
58,12,Acre,120025,Epitaciolândia
59,12,Acre,120030,Feijó
60,12,Acre,120032,Jordão
61,12,Acre,120033,Mâncio Lima
62,12,Acre,120034,Manoel Urbano
63,12,Acre,120035,Marechal Thaumaturgo
64,12,Acre,120038,Plácido de Castro
65,12,Acre,120080,Porto Acre
66,12,Acre,120039,Porto Walter
67,12,Acre,120040,Rio Branco
68,12,Acre,120042,Rodrigues Alves
69,12,Acre,120043,Santa Rosa do Purus
70,12,Acre,120050,Sena Madureira
71,12,Acre,120045,Senador Guiomard
72,12,Acre,120060,Tarauacá
73,12,Acre,120070,Xapuri
74,13,Amazonas,130002,Alvarães
75,13,Amazonas,130006,Amaturá
76,13,Amazonas,130008,Anamã
77,13,Amazonas,130010,Anori
78,13,Amazonas,130014,Apuí
79,13,Amazonas,130020,Atalaia do Norte
